pk,generation,num_children,audio,chain,parent,game_name,chain_name,message_name,remove
13,1,1,between-category-game-a/frip/gen-1.wav,4,4.0,between-category-game-a,frip,gen-1.wav,0.0
15,1,1,between-category-game-a/frip/gen-1_JDQRoZX.wav,4,4.0,between-category-game-a,frip,gen-1_JDQRoZX.wav,0.0
29,1,1,between-category-game-a/frip/gen-1_bTVyXti.wav,4,4.0,between-category-game-a,frip,gen-1_bTVyXti.wav,0.0
18,2,1,between-category-game-a/frip/gen-2.wav,4,13.0,between-category-game-a,frip,gen-2.wav,0.0
85,2,1,between-category-game-a/frip/gen-2_8GpIyx0.wav,4,29.0,between-category-game-a,frip,gen-2_8GpIyx0.wav,0.0
60,2,1,between-category-game-a/frip/gen-2_HUGF4lj.wav,4,15.0,between-category-game-a,frip,gen-2_HUGF4lj.wav,0.0
23,2,1,between-category-game-a/frip/gen-2_MxoYRTo.wav,4,15.0,between-category-game-a,frip,gen-2_MxoYRTo.wav,0.0
41,2,1,between-category-game-a/frip/gen-2_N9lJnzp.wav,4,15.0,between-category-game-a,frip,gen-2_N9lJnzp.wav,0.0
91,2,1,between-category-game-a/frip/gen-2_Su6XtFK.wav,4,15.0,between-category-game-a,frip,gen-2_Su6XtFK.wav,1.0
30,2,1,between-category-game-a/frip/gen-2_XR7Tt67.wav,4,15.0,between-category-game-a,frip,gen-2_XR7Tt67.wav,0.0
94,2,1,between-category-game-a/frip/gen-2_YmGSFcr.wav,4,13.0,between-category-game-a,frip,gen-2_YmGSFcr.wav,0.0
78,2,1,between-category-game-a/frip/gen-2_pqJJhmK.wav,4,15.0,between-category-game-a,frip,gen-2_pqJJhmK.wav,0.0
114,2,1,between-category-game-a/frip/gen-2_qLKdrJ8.wav,4,13.0,between-category-game-a,frip,gen-2_qLKdrJ8.wav,0.0
55,2,1,between-category-game-a/frip/gen-2_xFKCrAO.wav,4,29.0,between-category-game-a,frip,gen-2_xFKCrAO.wav,0.0
33,3,1,between-category-game-a/frip/gen-3.wav,4,23.0,between-category-game-a,frip,gen-3.wav,0.0
42,3,1,between-category-game-a/frip/gen-3_23VixS4.wav,4,18.0,between-category-game-a,frip,gen-3_23VixS4.wav,0.0
111,3,1,between-category-game-a/frip/gen-3_3ev2uxt.wav,4,94.0,between-category-game-a,frip,gen-3_3ev2uxt.wav,0.0
71,3,1,between-category-game-a/frip/gen-3_4ypIzw1.wav,4,60.0,between-category-game-a,frip,gen-3_4ypIzw1.wav,0.0
58,3,1,between-category-game-a/frip/gen-3_8Ai7s8R.wav,4,41.0,between-category-game-a,frip,gen-3_8Ai7s8R.wav,0.0
134,3,1,between-category-game-a/frip/gen-3_FO0IUIK.wav,4,18.0,between-category-game-a,frip,gen-3_FO0IUIK.wav,0.0
107,3,1,between-category-game-a/frip/gen-3_RO1dT1p.wav,4,55.0,between-category-game-a,frip,gen-3_RO1dT1p.wav,0.0
129,3,1,between-category-game-a/frip/gen-3_W3iZuoy.wav,4,91.0,between-category-game-a,frip,gen-3_W3iZuoy.wav,1.0
62,3,1,between-category-game-a/frip/gen-3_uRZoN0r.wav,4,18.0,between-category-game-a,frip,gen-3_uRZoN0r.wav,0.0
116,3,1,between-category-game-a/frip/gen-3_uoC0r0N.wav,4,78.0,between-category-game-a,frip,gen-3_uoC0r0N.wav,0.0
82,3,1,between-category-game-a/frip/gen-3_vOIvuAO.wav,4,41.0,between-category-game-a,frip,gen-3_vOIvuAO.wav,0.0
48,4,1,between-category-game-a/frip/gen-4.wav,4,33.0,between-category-game-a,frip,gen-4.wav,0.0
123,4,1,between-category-game-a/frip/gen-4_2ii1j4a.wav,4,42.0,between-category-game-a,frip,gen-4_2ii1j4a.wav,0.0
77,4,1,between-category-game-a/frip/gen-4_LN5hvua.wav,4,42.0,between-category-game-a,frip,gen-4_LN5hvua.wav,0.0
131,4,1,between-category-game-a/frip/gen-4_YNWOQZS.wav,4,111.0,between-category-game-a,frip,gen-4_YNWOQZS.wav,0.0
66,4,1,between-category-game-a/frip/gen-4_eHqdBzR.wav,4,62.0,between-category-game-a,frip,gen-4_eHqdBzR.wav,0.0
103,4,1,between-category-game-a/frip/gen-4_nNZiRWc.wav,4,82.0,between-category-game-a,frip,gen-4_nNZiRWc.wav,0.0
4,0,1,between-category-game-a/frip/seed.wav,4,,between-category-game-a,frip,seed.wav,0.0
9,1,1,between-category-game-a/heeh/gen-1.wav,1,1.0,between-category-game-a,heeh,gen-1.wav,0.0
10,1,1,between-category-game-a/heeh/gen-1_FaJz3er.wav,1,1.0,between-category-game-a,heeh,gen-1_FaJz3er.wav,0.0
21,1,1,between-category-game-a/heeh/gen-1_gJ6Yocu.wav,1,1.0,between-category-game-a,heeh,gen-1_gJ6Yocu.wav,0.0
24,2,1,between-category-game-a/heeh/gen-2.wav,1,21.0,between-category-game-a,heeh,gen-2.wav,0.0
26,2,1,between-category-game-a/heeh/gen-2_IF1Lm9g.wav,1,10.0,between-category-game-a,heeh,gen-2_IF1Lm9g.wav,0.0
53,2,1,between-category-game-a/heeh/gen-2_fmCtt9i.wav,1,9.0,between-category-game-a,heeh,gen-2_fmCtt9i.wav,0.0
37,2,1,between-category-game-a/heeh/gen-2_i4mNWbb.wav,1,10.0,between-category-game-a,heeh,gen-2_i4mNWbb.wav,0.0
39,2,1,between-category-game-a/heeh/gen-2_rzbljWw.wav,1,21.0,between-category-game-a,heeh,gen-2_rzbljWw.wav,0.0
35,2,1,between-category-game-a/heeh/gen-2_y4GsqGN.wav,1,10.0,between-category-game-a,heeh,gen-2_y4GsqGN.wav,0.0
32,3,1,between-category-game-a/heeh/gen-3.wav,1,24.0,between-category-game-a,heeh,gen-3.wav,0.0
51,3,1,between-category-game-a/heeh/gen-3_E7w6oF8.wav,1,35.0,between-category-game-a,heeh,gen-3_E7w6oF8.wav,0.0
63,3,1,between-category-game-a/heeh/gen-3_FAV8Jmo.wav,1,39.0,between-category-game-a,heeh,gen-3_FAV8Jmo.wav,0.0
57,3,1,between-category-game-a/heeh/gen-3_pGZTbM2.wav,1,24.0,between-category-game-a,heeh,gen-3_pGZTbM2.wav,0.0
135,3,1,between-category-game-a/heeh/gen-3_qettZZw.wav,1,26.0,between-category-game-a,heeh,gen-3_qettZZw.wav,0.0
115,3,1,between-category-game-a/heeh/gen-3_vBU7BHz.wav,1,24.0,between-category-game-a,heeh,gen-3_vBU7BHz.wav,0.0
