question,given,given_gen,answer,selection
1,26,2,3,3
2,47,2,1,1
3,40,2,2,1
4,96,2,4,4
5,66,2,3,2
6,6,2,1,1
7,7,2,3,2
8,61,2,4,4
9,72,5,3,2
10,53,5,1,2
11,33,5,2,1
12,26,5,4,2
13,10,5,3,1
14,67,5,1,2
15,13,5,3,3
16,54,5,4,4
17,64,7,3,1
18,72,7,1,2
19,32,7,2,2
20,19,7,4,1
21,60,7,3,2
22,26,7,1,3
23,18,7,3,2
24,40,7,4,2
1,26,2,3,1
2,47,2,1,2
3,40,2,2,1
4,96,2,4,4
5,66,2,3,4
6,6,2,1,1
7,7,2,3,2
8,61,2,4,3
9,72,5,3,2
10,53,5,1,1
11,33,5,2,2
12,26,5,4,3
13,10,5,3,1
14,67,5,1,2
15,13,5,3,2
16,54,5,4,2
17,64,7,3,3
18,72,7,1,2
19,32,7,2,1
20,19,7,4,1
21,60,7,3,2
22,26,7,1,3
23,18,7,3,2
24,40,7,4,2
